dataset,knn,svm,rf,mlp
appendicitis,0.585,0.555,0.595,0.605
australian,0.51795,0.61793,0.87289,0.35859
banana,0.86995,0.85817,0.53333,0.78049
bands,0.49259,0.47407,0.61034,0.25185
bupa,0.52759,0.51034,0.08023,0.32069
coil-2000,0.14593,0.46412,0.85029,0.01444
haberman,0.42647,0.57206,0.35735,0.17316
heart,0.78333,0.77,0.89,0.75333
hepatitis,0.6,0.7,0.55,0.65
ionosphere,0.97556,0.94222,0.96889,0.98
monk-2,0.99343,1,1,0.91256
phoneme,0.81241,0.78247,0.83891,0.71154
pima,0.55936,0.48536,0.63082,0.2044
saheart,0.42812,0.44062,0.45625,0.375
spectfheart,0.81141,0.78461,0.95044,0.97907
sonar,0.87806,0.87372,0.91877,0.83775
spambase,0.77456,0.80078,0.93461,0.91529
titanic,0.72078,0.70173,0.73242,0.69608
wdbc,0.89136,0.91982,0.94795,0.85161
wisconsin,0.96861,0.975,0.97487,0.95381
usps,0.905,0.91333,0.70167,0.905